주소1,주소2,회원수
Example State 008,Example City 079,20
Example State 001,Example City 038,20
Example State 002,Example City 006,20
Example State 004,Example City 008,20
Example State 013,Example City 188,20
Example State 008,Example City 453,19
Example State 015,Example City 017,19
Example State 004,Example City 105,19
Example State 006,Example City 058,19
Example State 006,Example City 218,19
Example State 008,Example City 057,18
Example State 006,Example City 039,18
Example State 015,Example City 186,18
Example State 003,Example City 086,18
Example State 013,Example City 018,18
Example State 008,Example City 459,18
Example State 008,Example City 016,18
Example State 006,Example City 056,17
Example State 003,Example City 449,17
Example State 013,Example City 032,17
Example State 014,Example City 084,17
Example State 001,Example City 085,17
Example State 012,Example City 434,16
Example State 014,Example City 438,16
Example State 008,Example City 024,16
Example State 008,Example City 440,15
Example State 015,Example City 214,15
Example State 004,Example City 063,15
Example State 001,Example City 205,15
Example State 008,Example City 217,15
Example State 008,Example City 082,14
Example State 013,Example City 185,14
Example State 010,Example City 018,14
Example State 015,Example City 210,13
Example State 015,Example City 080,13
Example State 008,Example City 441,13
Example State 008,Example City 180,13
Example State 008,Example City 443,13
Example State 008,Example City 442,12
Example State 015,Example City 195,12
Example State 003,Example City 171,12
Example State 008,Example City 462,12
Example State 008,Example City 445,12
Example State 010,Example City 056,12
Example State 092,Example City 168,12
Example State 015,Example City 066,11
Example State 005,Example City 081,11
Example State 002,Example City 187,11
Example State 008,Example City 102,11
Example State 012,Example City 430,11
Example State 016,Example City 200,10
Example State 008,Example City 456,10
Example State 003,Example City 451,9
Example State 013,Example City 056,9
Example State 014,Example City 196,9
Example State 010,Example City 211,9
Example State 012,Example City 463,9
Example State 001,Example City 072,8
Example State 092,Example City 233,8
Example State 005,Example City 010,8
Example State 012,Example City 263,8
Example State 005,Example City 273,8
Example State 009,Example City 070,8
Example State 008,Example City 191,8
Example State 008,Example City 464,8
Example State 016,Example City 065,8
Example State 008,Example City 174,8
Example State 008,Example City 465,7
Example State 008,Example City 466,7
Example State 008,Example City 199,7
Example State 009,Example City 032,7
Example State 001,Example City 020,7
Example State 004,Example City 213,7
Example State 015,Example City 032,7
Example State 015,Example City 043,7
Example State 015,Example City 215,7
Example State 008,Example City 458,6
Example State 015,Example City 018,6
Example State 008,Example City 046,6
Example State 008,Example City 234,5
Example State 092,Example City 436,5
Example State 092,Example City 207,5
Example State 003,Example City 181,5
Example State 003,Example City 212,5
Example State 092,Example City 448,5
Example State 013,Example City 043,5
Example State 015,Example City 061,5
Example State 001,Example City 197,5
Example State 005,Example City 182,5
Example State 013,Example City 017,5
Example State 014,Example City 198,5
Example State 014,Example City 193,5
Example State 012,Example City 457,5
Example State 009,Example City 056,5
Example State 014,Example City 265,4
Example State 014,Example City 259,4
Example State 015,Example City 056,4
Example State 005,Example City 228,4
Example State 014,Example City 074,4
Example State 005,Example City 237,4
Example State 014,Example City 238,4
Example State 005,Example City 216,4
Example State 092,Example City 226,4
Example State 092,Example City 232,4
Example State 092,Example City 177,4
Example State 005,Example City 270,3
Example State 003,Example City 253,3
Example State 003,Example City 284,3
Example State 092,Example City 271,3
Example State 003,Example City 262,3
Example State 014,Example City 264,3
Example State 008,Example City 261,3
Example State 003,Example City 247,3
Example State 092,Example City 169,3
Example State 014,Example City 277,3
Example State 015,Example City 269,3
Example State 014,Example City 240,3
Example State 092,Example City 267,2
Example State 016,Example City 266,2
Example State 003,Example City 172,2
Example State 008,Example City 452,2
Example State 013,Example City 252,2
Example State 004,Example City 056,2
Example State 001,,2
Example State 003,Example City 368,1
Example State 092,Example City 314,1
Example State 092,Example City 316,1
Example State 092,Example City 170,1
Example State 092,Example City 300,1
Example State 016,Example City 345,1
Example State 016,Example City 260,1
Example State 016,Example City 278,1
Example State 016,Example City 208,1
Example State 016,Example City 223,1
Example State 016,Example City 396,1
Example State 008,Example City 283,1
Example State 008,Example City 022,1
Example State 008,Example City 315,1
Example State 092,Example City 310,1
Example State 092,Example City 401,1
Example State 009,Example City 018,1
Example State 004,Example City 275,1
Example State 004,Example City 258,1
Example State 005,Example City 184,1
Example State 014,Example City 060,1
Example State 005,Example City 467,1
Example State 012,Example City 279,1
Example State 012,Example City 399,1
Example State 012,Example City 352,1
Example State 012,Example City 227,1
Example State 014,Example City 285,1
Example State 012,Example City 245,1
Example State 012,Example City 220,1
Example State 012,Example City 392,1
