주소1,주소2,연령대,회원수
Example State 001,Example City 005,30대,7
Example State 008,Example City 082,30대,7
Example State 006,Example City 039,20대,7
Example State 001,Example City 049,10대,7
Example State 008,Example City 224,20대,7
Example State 003,Example City 432,40대,7
Example State 003,Example City 086,30대,7
Example State 008,Example City 437,20대,7
Example State 008,Example City 024,30대,7
Example State 001,Example City 003,80대 이상,7
Example State 001,Example City 085,40대,7
Example State 014,Example City 084,40대,6
Example State 001,Example City 028,60대,6
Example State 006,Example City 059,40대,6
Example State 008,Example City 446,40대,6
Example State 008,Example City 015,40대,6
Example State 010,Example City 018,40대,6
Example State 006,Example City 061,50대,6
Example State 003,Example City 007,30대,6
Example State 006,Example City 042,60대,6
Example State 008,Example City 455,50대,6
Example State 001,Example City 025,60대,6
Example State 001,Example City 052,20대,6
Example State 015,Example City 186,20대,6
Example State 001,Example City 025,20대,6
Example State 008,Example City 192,20대,6
Example State 006,Example City 061,40대,6
Example State 013,Example City 185,20대,6
Example State 003,Example City 432,20대,6
Example State 009,Example City 017,50대,6
Example State 001,Example City 204,30대,6
Example State 001,Example City 205,40대,6
Example State 001,Example City 049,60대,6
Example State 008,Example City 440,20대,6
Example State 010,Example City 023,20대,6
Example State 001,Example City 173,40대,6
Example State 001,Example City 085,30대,6
Example State 012,Example City 434,30대,6
Example State 015,Example City 210,30대,6
Example State 014,Example City 438,30대,6
Example State 011,Example City 447,20대,6
Example State 008,Example City 192,30대,6
Example State 006,Example City 175,50대,6
Example State 010,Example City 043,50대,6
Example State 006,Example City 048,20대,6
Example State 006,Example City 039,30대,6
Example State 006,Example City 030,60대,6
Example State 006,Example City 076,40대,6
Example State 006,Example City 067,30대,6
Example State 008,Example City 453,20대,6
Example State 013,Example City 222,20대,6
Example State 008,Example City 016,20대,6
Example State 008,Example City 446,20대,6
Example State 015,Example City 017,20대,6
Example State 014,Example City 438,20대,6
Example State 005,Example City 273,30대,6
Example State 001,Example City 026,50대,6
Example State 003,Example City 071,20대,5
Example State 006,Example City 042,20대,5
Example State 015,Example City 066,30대,5
Example State 003,Example City 171,30대,5
Example State 013,Example City 032,50대,5
Example State 001,Example City 031,60대,5
Example State 003,Example City 007,60대,5
Example State 006,Example City 175,40대,5
Example State 010,Example City 056,30대,5
Example State 003,Example City 449,20대,5
Example State 013,Example City 032,30대,5
Example State 008,Example City 057,40대,5
Example State 005,Example City 081,30대,5
Example State 003,Example City 062,10대,5
Example State 008,Example City 180,30대,5
Example State 001,Example City 052,50대,5
Example State 013,Example City 188,40대,5
Example State 012,Example City 434,40대,5
Example State 008,Example City 087,30대,5
Example State 004,Example City 077,50대,5
Example State 001,Example City 025,10대,5
Example State 008,Example City 433,60대,5
Example State 003,Example City 071,30대,5
Example State 006,Example City 201,40대,5
Example State 015,Example City 080,20대,5
Example State 006,Example City 218,40대,5
Example State 005,Example City 176,20대,5
Example State 008,Example City 444,30대,5
Example State 013,Example City 222,50대,5
Example State 008,Example City 445,20대,5
Example State 003,Example City 431,40대,5
Example State 008,Example City 224,40대,5
Example State 006,Example City 027,60대,5
Example State 008,Example City 439,50대,5
Example State 006,Example City 067,40대,5
Example State 008,Example City 454,30대,5
Example State 015,Example City 214,50대,5
Example State 010,Example City 023,60대,5
Example State 005,Example City 189,50대,5
Example State 004,Example City 063,30대,5
Example State 003,Example City 029,60대,5
Example State 002,Example City 006,40대,5
Example State 008,Example City 016,30대,5
Example State 003,Example City 431,20대,5
Example State 092,Example City 233,20대,5
Example State 014,Example City 084,30대,5
Example State 015,Example City 080,50대,4
Example State 008,Example City 102,40대,4
Example State 092,Example City 168,40대,4
Example State 008,Example City 454,40대,4
Example State 002,Example City 006,20대,4
Example State 002,Example City 006,50대,4
Example State 003,Example City 071,50대,4
Example State 006,Example City 076,50대,4
Example State 008,Example City 083,40대,4
Example State 092,Example City 168,20대,4
Example State 008,Example City 082,20대,4
Example State 014,Example City 074,30대,4
Example State 006,Example City 048,50대,4
Example State 013,Example City 188,20대,4
Example State 002,Example City 187,40대,4
Example State 008,Example City 191,20대,4
Example State 015,Example City 195,20대,4
Example State 015,Example City 195,40대,4
Example State 009,Example City 032,30대,4
Example State 014,Example City 198,30대,4
Example State 015,Example City 186,50대,4
Example State 008,Example City 199,30대,4
Example State 006,Example City 067,50대,4
Example State 015,Example City 017,30대,4
Example State 010,Example City 211,20대,4
Example State 001,Example City 205,30대,4
Example State 001,Example City 204,50대,4
Example State 010,Example City 056,40대,4
Example State 004,Example City 008,40대,4
Example State 014,Example City 084,20대,4
Example State 015,Example City 214,20대,4
Example State 015,Example City 215,40대,4
Example State 008,Example City 217,40대,4
Example State 009,Example City 017,20대,4
Example State 003,Example City 432,30대,4
Example State 008,Example City 217,20대,4
Example State 008,Example City 057,20대,4
Example State 015,Example City 214,30대,4
Example State 006,Example City 076,30대,4
Example State 015,Example City 203,60대,4
Example State 006,Example City 037,40대,4
Example State 004,Example City 008,50대,4
Example State 008,Example City 462,40대,4
Example State 008,Example City 057,30대,4
Example State 005,Example City 189,20대,4
Example State 006,Example City 013,60대,4
Example State 008,Example City 459,20대,4
Example State 010,Example City 018,30대,4
Example State 006,Example City 053,60대,4
Example State 001,Example City 028,10대,4
Example State 008,Example City 458,20대,4
Example State 015,Example City 203,50대,4
Example State 003,Example City 179,50대,4
Example State 008,Example City 453,40대,4
Example State 008,Example City 102,20대,4
Example State 013,Example City 185,40대,4
Example State 013,Example City 018,20대,4
Example State 008,Example City 443,30대,4
Example State 008,Example City 192,40대,4
Example State 001,Example City 038,20대,4
Example State 004,Example City 063,20대,4
Example State 008,Example City 440,30대,4
Example State 008,Example City 442,20대,4
Example State 005,Example City 036,10대,4
Example State 006,Example City 030,10대,4
Example State 008,Example City 079,20대,4
Example State 008,Example City 459,40대,4
Example State 013,Example City 032,20대,4
Example State 006,Example City 037,50대,4
Example State 008,Example City 217,30대,4
Example State 004,Example City 077,20대,4
Example State 004,Example City 063,40대,4
Example State 006,Example City 056,40대,4
Example State 001,Example City 167,60대,4
Example State 008,Example City 044,50대,4
Example State 015,Example City 018,30대,4
Example State 008,Example City 224,30대,4
Example State 015,Example City 017,50대,4
Example State 008,Example City 082,40대,3
Example State 001,Example City 072,40대,3
Example State 008,Example City 456,30대,3
Example State 006,Example City 054,50대,3
Example State 092,Example City 169,20대,3
Example State 001,Example City 173,50대,3
Example State 008,Example City 464,30대,3
Example State 008,Example City 465,30대,3
Example State 008,Example City 443,50대,3
Example State 008,Example City 443,20대,3
Example State 008,Example City 445,40대,3
Example State 008,Example City 462,20대,3
Example State 012,Example City 463,40대,3
Example State 003,Example City 451,30대,3
Example State 015,Example City 080,40대,3
Example State 008,Example City 083,50대,3
Example State 002,Example City 187,30대,3
Example State 003,Example City 029,20대,3
Example State 008,Example City 442,40대,3
Example State 001,Example City 005,50대,3
Example State 014,Example City 196,40대,3
Example State 005,Example City 176,60대,3
Example State 013,Example City 056,40대,3
Example State 003,Example City 450,30대,3
Example State 008,Example City 046,40대,3
Example State 001,Example City 038,30대,3
Example State 001,Example City 072,30대,3
Example State 016,Example City 065,30대,3
Example State 001,Example City 173,20대,3
Example State 016,Example City 200,30대,3
Example State 004,Example City 213,20대,3
Example State 015,Example City 032,40대,3
Example State 001,Example City 002,70대,3
Example State 005,Example City 216,30대,3
Example State 008,Example City 466,30대,3
Example State 006,Example City 037,30대,3
Example State 003,Example City 179,30대,3
Example State 005,Example City 010,30대,3
Example State 008,Example City 440,40대,3
Example State 010,Example City 211,30대,3
Example State 011,Example City 447,50대,3
Example State 004,Example City 043,50대,3
Example State 008,Example City 057,50대,3
Example State 008,Example City 180,40대,3
Example State 015,Example City 186,30대,3
Example State 008,Example City 078,50대,3
Example State 008,Example City 192,50대,3
Example State 013,Example City 222,30대,3
Example State 004,Example City 105,40대,3
Example State 003,Example City 450,50대,3
Example State 015,Example City 203,40대,3
Example State 014,Example City 196,30대,3
Example State 015,Example City 069,60대,3
Example State 013,Example City 056,30대,3
Example State 008,Example City 016,40대,3
Example State 008,Example City 024,50대,3
Example State 003,Example City 449,40대,3
Example State 006,Example City 056,20대,3
Example State 006,Example City 050,50대,3
Example State 012,Example City 430,20대,3
Example State 001,Example City 005,20대,3
Example State 003,Example City 171,20대,3
Example State 008,Example City 079,10대,3
Example State 012,Example City 263,30대,3
Example State 012,Example City 434,20대,3
Example State 003,Example City 179,10대,3
Example State 013,Example City 017,30대,3
Example State 009,Example City 070,20대,3
Example State 014,Example City 265,20대,3
Example State 015,Example City 066,20대,3
Example State 013,Example City 185,30대,3
Example State 008,Example City 464,20대,3
Example State 003,Example City 009,10대,3
Example State 015,Example City 061,40대,3
Example State 008,Example City 442,30대,3
Example State 015,Example City 066,40대,3
Example State 004,Example City 008,30대,3
Example State 001,Example City 204,20대,3
Example State 006,Example City 218,20대,3
Example State 008,Example City 444,50대,3
Example State 092,Example City 168,50대,3
Example State 008,Example City 445,30대,3
Example State 003,Example City 009,50대,3
Example State 011,Example City 447,60대,3
Example State 006,Example City 058,40대,3
Example State 006,Example City 194,50대,3
Example State 006,Example City 059,50대,3
Example State 008,Example City 462,50대,3
Example State 015,Example City 210,40대,3
Example State 004,Example City 077,40대,3
Example State 001,Example City 002,10대,3
Example State 001,Example City 020,30대,3
Example State 008,Example City 174,40대,3
Example State 008,Example City 174,20대,3
Example State 006,Example City 048,60대,3
Example State 008,Example City 078,30대,3
Example State 001,Example City 019,미상,3
Example State 001,Example City 085,60대,2
Example State 003,Example City 086,60대,2
Example State 001,,40대,2
Example State 015,Example City 032,50대,2
Example State 013,Example City 056,20대,2
Example State 006,Example City 039,50대,2
Example State 006,Example City 011,50대,2
Example State 092,Example City 177,30대,2
Example State 015,Example City 043,50대,2
Example State 005,Example City 182,60대,2
Example State 001,Example City 173,60대,2
Example State 092,Example City 436,30대,2
Example State 005,Example City 460,10대,2
Example State 001,Example City 019,70대,2
Example State 008,Example City 079,50대,2
Example State 006,Example City 030,70대,2
Example State 001,Example City 197,20대,2
Example State 008,Example City 441,50대,2
Example State 016,Example City 200,40대,2
Example State 001,Example City 205,20대,2
Example State 092,Example City 207,20대,2
Example State 008,Example City 044,10대,2
Example State 015,Example City 210,20대,2
Example State 003,Example City 431,10대,2
Example State 001,Example City 038,50대,2
Example State 001,Example City 205,50대,2
Example State 003,Example City 212,40대,2
Example State 006,Example City 201,50대,2
Example State 092,Example City 448,30대,2
Example State 003,Example City 171,40대,2
Example State 092,Example City 448,20대,2
Example State 092,Example City 436,20대,2
Example State 015,Example City 043,40대,2
Example State 005,Example City 010,20대,2
Example State 015,Example City 017,40대,2
Example State 008,Example City 456,40대,2
Example State 003,Example City 181,40대,2
Example State 008,Example City 444,40대,2
Example State 015,Example City 043,20대,2
Example State 006,Example City 201,60대,2
Example State 005,Example City 081,40대,2
Example State 008,Example City 015,50대,2
Example State 008,Example City 044,60대,2
Example State 006,Example City 011,60대,2
Example State 005,Example City 228,20대,2
Example State 013,Example City 018,60대,2
Example State 005,Example City 182,50대,2
Example State 006,Example City 075,60대,2
Example State 014,Example City 438,40대,2
Example State 006,Example City 183,50대,2
Example State 092,Example City 232,50대,2
Example State 001,Example City 014,60대,2
Example State 001,Example City 043,70대,2
Example State 015,Example City 017,60대,2
Example State 001,Example City 020,60대,2
Example State 013,Example City 032,40대,2
Example State 003,Example City 431,50대,2
Example State 008,Example City 454,50대,2
Example State 008,Example City 444,60대,2
Example State 015,Example City 186,60대,2
Example State 008,Example City 078,60대,2
Example State 008,Example City 437,50대,2
Example State 008,Example City 234,30대,2
Example State 092,Example City 207,30대,2
Example State 003,Example City 212,20대,2
Example State 008,Example City 456,50대,2
Example State 014,Example City 193,20대,2
Example State 005,Example City 081,20대,2
Example State 006,Example City 039,40대,2
Example State 013,Example City 188,50대,2
Example State 003,Example City 009,60대,2
Example State 012,Example City 457,30대,2
Example State 003,Example City 086,20대,2
Example State 002,Example City 187,50대,2
Example State 013,Example City 018,40대,2
Example State 008,Example City 224,10대,2
Example State 008,Example City 466,40대,2
Example State 010,Example City 018,20대,2
Example State 008,Example City 261,20대,2
Example State 008,Example City 083,10대,2
Example State 004,Example City 063,10대,2
Example State 006,Example City 027,10대,2
Example State 009,Example City 056,20대,2
Example State 001,Example City 167,10대,2
Example State 008,Example City 458,30대,2
Example State 015,Example City 056,30대,2
Example State 008,Example City 180,20대,2
Example State 008,Example City 024,20대,2
Example State 016,Example City 266,20대,2
Example State 016,Example City 065,20대,2
Example State 092,Example City 267,20대,2
Example State 008,Example City 440,10대,2
Example State 092,Example City 226,40대,2
Example State 010,Example City 043,10대,2
Example State 001,Example City 005,10대,2
Example State 003,Example City 450,20대,2
Example State 015,Example City 195,10대,2
Example State 003,Example City 181,20대,2
Example State 003,Example City 253,20대,2
Example State 003,Example City 450,10대,2
Example State 009,Example City 070,30대,2
Example State 003,Example City 007,10대,2
Example State 008,Example City 456,20대,2
Example State 013,Example City 043,30대,2
Example State 004,Example City 077,10대,2
Example State 008,Example City 079,40대,2
Example State 005,Example City 273,20대,2
Example State 016,Example City 200,20대,2
Example State 008,Example City 192,10대,2
Example State 008,Example City 454,10대,2
Example State 012,Example City 463,20대,2
Example State 012,Example City 263,40대,2
Example State 009,Example City 056,50대,2
Example State 008,Example City 224,50대,2
Example State 008,Example City 044,70대,2
Example State 005,Example City 460,60대,2
Example State 012,Example City 457,50대,2
Example State 016,Example City 065,40대,2
Example State 001,Example City 020,40대,2
Example State 001,Example City 085,50대,2
Example State 008,Example City 443,40대,2
Example State 001,Example City 038,60대,2
Example State 001,Example City 026,30대,2
Example State 006,Example City 037,60대,2
Example State 003,Example City 009,70대,2
Example State 008,Example City 024,60대,2
Example State 015,Example City 186,40대,2
Example State 014,Example City 238,30대,2
Example State 012,Example City 463,30대,2
Example State 015,Example City 195,30대,2
Example State 014,Example City 277,30대,2
Example State 006,Example City 175,60대,2
Example State 008,Example City 465,40대,2
Example State 016,Example City 200,50대,2
Example State 008,Example City 102,30대,2
Example State 003,Example City 451,40대,2
Example State 006,Example City 011,70대,2
Example State 006,Example City 068,40대,2
Example State 004,Example City 213,30대,2
Example State 006,Example City 013,50대,2
Example State 010,Example City 043,60대,2
Example State 008,Example City 191,40대,2
Example State 001,Example City 031,10대,2
Example State 006,Example City 059,60대,2
Example State 003,Example City 432,50대,2
Example State 005,Example City 081,60대,1
Example State 008,Example City 455,60대,1
Example State 008,Example City 452,40대,1
Example State 003,Example City 451,60대,1
Example State 008,Example City 022,20대,1
Example State 015,Example City 080,70대,1
Example State 006,Example City 058,50대,1
Example State 012,Example City 430,60대,1
Example State 092,Example City 170,50대,1
Example State 008,Example City 452,20대,1
Example State 003,Example City 172,40대,1
Example State 012,Example City 463,60대,1
Example State 015,Example City 056,40대,1
Example State 092,Example City 448,40대,1
Example State 008,Example City 180,50대,1
Example State 003,Example City 181,70대,1
Example State 005,Example City 184,50대,1
Example State 009,Example City 032,40대,1
Example State 013,Example City 185,50대,1
Example State 015,Example City 032,30대,1
Example State 005,Example City 010,40대,1
Example State 014,Example City 193,30대,1
Example State 010,Example City 018,50대,1
Example State 001,Example City 038,10대,1
Example State 006,Example City 068,50대,1
Example State 006,Example City 056,50대,1
Example State 001,Example City 204,10대,1
Example State 016,Example City 208,40대,1
Example State 014,Example City 196,10대,1
Example State 008,Example City 443,10대,1
Example State 006,Example City 048,10대,1
Example State 001,Example City 197,60대,1
Example State 001,Example City 047,60대,1
Example State 001,Example City 197,40대,1
Example State 004,Example City 105,50대,1
Example State 012,Example City 220,30대,1
Example State 015,Example City 215,20대,1
Example State 006,Example City 061,80대 이상,1
Example State 003,Example City 432,10대,1
Example State 015,Example City 043,30대,1
Example State 016,Example City 223,30대,1
Example State 092,Example City 226,30대,1
Example State 008,Example City 464,50대,1
Example State 012,Example City 227,50대,1
Example State 014,Example City 438,70대,1
Example State 006,Example City 076,60대,1
Example State 010,Example City 056,60대,1
Example State 092,Example City 233,60대,1
Example State 008,Example City 234,60대,1
Example State 005,Example City 036,60대,1
Example State 005,Example City 237,40대,1
Example State 014,Example City 238,50대,1
Example State 013,Example City 056,50대,1
Example State 012,Example City 463,50대,1
Example State 015,Example City 210,50대,1
Example State 014,Example City 240,50대,1
Example State 008,Example City 439,60대,1
Example State 010,Example City 056,50대,1
Example State 013,Example City 018,50대,1
Example State 002,Example City 187,20대,1
Example State 092,Example City 168,30대,1
Example State 003,Example City 451,20대,1
Example State 014,Example City 240,40대,1
Example State 012,Example City 245,30대,1
Example State 005,Example City 010,50대,1
Example State 003,Example City 247,40대,1
Example State 008,Example City 087,50대,1
Example State 015,Example City 215,60대,1
Example State 008,Example City 459,70대,1
Example State 001,Example City 072,60대,1
Example State 006,Example City 054,60대,1
Example State 008,Example City 015,10대,1
Example State 013,Example City 252,20대,1
Example State 003,Example City 253,40대,1
Example State 008,Example City 199,10대,1
Example State 008,Example City 433,70대,1
Example State 010,Example City 056,20대,1
Example State 014,Example City 084,10대,1
Example State 006,Example City 175,10대,1
Example State 008,Example City 445,10대,1
Example State 006,Example City 056,10대,1
Example State 004,Example City 258,10대,1
Example State 015,Example City 214,10대,1
Example State 006,Example City 067,10대,1
Example State 014,Example City 259,10대,1
Example State 016,Example City 260,30대,1
Example State 003,Example City 262,30대,1
Example State 016,Example City 200,10대,1
Example State 015,Example City 017,10대,1
Example State 008,Example City 024,10대,1
Example State 004,Example City 008,10대,1
Example State 005,Example City 176,10대,1
Example State 015,Example City 061,20대,1
Example State 014,Example City 196,20대,1
Example State 014,Example City 198,20대,1
Example State 006,Example City 050,10대,1
Example State 008,Example City 439,10대,1
Example State 008,Example City 446,10대,1
Example State 005,Example City 182,20대,1
Example State 012,Example City 263,20대,1
Example State 014,Example City 435,10대,1
Example State 014,Example City 264,20대,1
Example State 010,Example City 018,10대,1
Example State 014,Example City 259,30대,1
Example State 013,Example City 252,40대,1
Example State 008,Example City 180,10대,1
Example State 013,Example City 222,10대,1
Example State 008,Example City 016,10대,1
Example State 008,Example City 057,10대,1
Example State 015,Example City 269,30대,1
Example State 006,Example City 061,10대,1
Example State 015,Example City 069,10대,1
Example State 009,Example City 070,10대,1
Example State 005,Example City 270,10대,1
Example State 015,Example City 069,50대,1
Example State 008,Example City 217,10대,1
Example State 003,Example City 262,20대,1
Example State 092,Example City 207,10대,1
Example State 010,Example City 023,10대,1
Example State 092,Example City 271,10대,1
Example State 092,Example City 436,50대,1
Example State 008,Example City 437,10대,1
Example State 001,Example City 197,10대,1
Example State 003,Example City 247,30대,1
Example State 092,Example City 271,30대,1
Example State 001,Example City 026,10대,1
Example State 005,Example City 461,10대,1
Example State 003,Example City 451,10대,1
Example State 008,Example City 046,30대,1
Example State 003,Example City 449,10대,1
Example State 004,Example City 105,10대,1
Example State 001,Example City 014,10대,1
Example State 015,Example City 269,20대,1
Example State 015,Example City 061,10대,1
Example State 004,Example City 213,10대,1
Example State 001,Example City 072,10대,1
Example State 008,Example City 442,10대,1
Example State 014,Example City 240,20대,1
Example State 011,Example City 447,10대,1
Example State 008,Example City 465,20대,1
Example State 003,Example City 171,50대,1
Example State 008,Example City 191,10대,1
Example State 006,Example City 194,10대,1
Example State 004,Example City 275,10대,1
Example State 006,Example City 042,10대,1
Example State 005,Example City 270,40대,1
Example State 010,Example City 211,10대,1
Example State 012,Example City 263,10대,1
Example State 006,Example City 039,10대,1
Example State 005,Example City 237,10대,1
Example State 008,Example City 466,20대,1
Example State 092,Example City 177,20대,1
Example State 009,Example City 032,20대,1
