No,입력시간(KST),날짜,연도,월,일,요일,플랫폼 1,플랫폼 2,콘텐츠 구분,프로그램,담당 부서,콘텐츠 제목,콘텐츠 형식,콘텐츠 내용,게시 담당자,진행 상태,비고,신청자,결과_링크,결과_첨부URL,결과_비고,직전 상태,상태 변경 KST,보류사유,재신청사유,취소사유,공연ID,
118,2026-07-08 10:00:00,2026-07-08 00:00:00,2026,7,8,수요일,기타,-,전시,기타,예술사업팀,창작스튜디오 입주작가 인터뷰,텍스트,"[플랫폼명]
창작스튜디오 입주작가 인터뷰

[본문]
창작스튜디오 7기 입주작가 인터뷰 요청
8월말부터 순서대로 입주작가님들 전시가 진행될 예정입니다.
안민환 - 박금만 - 정혜령 - 김서량 - 윤동천
위 순서대로 인터뷰하시고 인스타에 게시되면 좋을 듯 합니다.
이전에 게시되었던 김희수, 신혜정작가 인터뷰 느낌으로 해주시면 감사하겠습니다.
인터뷰 일정은 작가님 일정과 담당자 일정 조율해서 맞춰보겠습니다.
가능여부 확인해주시고 알려주세요~

[홍보 의도]
입주작가 전시 홍보 및 작가 소개 등",Cameron Lane 09790,완료,,Taylor Parker 05068,,,인터뷰 가능 일정 조율 중.,예정,2026-07-08 15:20:43,,,,,
119,2026-07-08 17:00:00,2026-07-08 00:00:00,2026,7,8,수요일,블로그·맘카페,블로그,공연,조재혁 피아노 리사이틀,예술사업팀,조재혁 피아노 리사이틀 블로그 포스팅,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
음반발매기념 <조재혁 피아노 리사이틀>

음악사에 길이 남은 천재,볼프강 아마데우스 모차르트 탄생 270주년을 기념해 피아니스트 조재혁이 모차르트 피아노 소나타의 세계를 들고 이번 9월, 예울마루 대극장에 찾아옵니다
",Cameron Lane 09790,완료,,Cameron Lane 09790,https://blog.naver.com/gscaltex_yeulmaru/224340513722,,,예정,2026-07-08 16:55:23,,,,260912_01,
118,2026-07-15 10:00:00,2026-07-15 00:00:00,2026,7,15,수요일,문자,마케팅 수신 회원,기타,기타,예술사업팀,고객 의견 수렴 2차 발송,텍스트,"[본문]
(광고) GS칼텍스 예울마루


-

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Avery Reed 08336,,,,예정,2026-07-15 13:06:23,,,,,
119,2026-07-17 10:00:00,2026-07-17 00:00:00,2026,7,17,금요일,카카오톡,-,공연,여수세계섬박람회 기념 음악회,예술사업팀,섬 박람회,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General",상관 없음,취소,,Avery Reed 08336,,,,예정,2026-07-16 19:06:31,,,,260910_01,
119,2026-07-23 16:00:00,2026-07-23 00:00:00,2026,7,23,목요일,인스타그램,-,공연,뮤지컬 <그날들>,예술사업팀,그날들 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/p/DbH_Gzjkccw/?img_index=1,,,예정,2026-07-23 15:16:40,,,,260918_01,
120,2026-07-24 15:00:00,2026-07-24 00:00:00,2026,7,24,금요일,카카오톡,-,공연,뮤지컬 <그날들>,예술사업팀,그날들 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
TBU",Avery Reed 08336,완료,,Cameron Lane 09790,,,,예정,2026-07-24 16:27:09,,,,260918_01,
121,2026-07-24 15:00:00,2026-07-24 00:00:00,2026,7,24,금요일,문자,마케팅 수신 회원,공연,뮤지컬 <그날들>,예술사업팀,그날들 T/O,텍스트,"[본문]
(광고) GS칼텍스 예울마루


TBU

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,취소,,Cameron Lane 09790,,,,예정,2026-07-21 13:09:47,,,-,260918_01,
122,2026-07-22 17:00:00,2026-07-22 00:00:00,2026,7,22,수요일,블로그·맘카페,블로그,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,피아노피아노 홍보 포스팅,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
TBU",Cameron Lane 09790,완료,,Cameron Lane 09790,,,,예정,2026-07-22 17:54:21,,,,261027_01,
123,2026-07-24 17:00:00,2026-07-24 00:00:00,2026,7,24,금요일,블로그·맘카페,블로그,공연,뮤지컬 <그날들>,예술사업팀,그날들 홍보 포스팅,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
TBU",Cameron Lane 09790,완료,,Cameron Lane 09790,,,,예정,2026-07-25 08:56:10,,,,260918_01,
124,2026-07-28 15:00:00,2026-07-28 00:00:00,2026,7,28,화요일,문자,마케팅 수신 회원,공연,여수세계섬박람회 기념 음악회,예술사업팀,섬 박람회 T/O,텍스트,"[본문]
(광고) GS칼텍스 예울마루


TBU

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,취소,,Cameron Lane 09790,,,,예정,2026-07-25 11:01:11,,,-,260910_01,
125,2026-07-28 15:50:00,2026-07-28 00:00:00,2026,7,28,화요일,카카오톡,-,공연,여수세계섬박람회 기념 음악회,예술사업팀,섬 박람회 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
TBU",Avery Reed 08336,취소,,Cameron Lane 09790,,,,예정,2026-07-28 10:02:09,,,pp,260910_01,
126,2026-07-28 16:00:00,2026-07-28 00:00:00,2026,7,28,화요일,인스타그램,-,공연,여수세계섬박람회 기념 음악회,예술사업팀,섬 박람회 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,취소,,Cameron Lane 09790,,,,예정,2026-07-25 11:01:38,,,ㅇ,260910_01,
127,2026-07-28 17:00:00,2026-07-28 00:00:00,2026,7,28,화요일,블로그·맘카페,블로그,공연,여수세계섬박람회 기념 음악회,예술사업팀,섬 박람회 홍보 포스팅,텍스트,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[글 작성 방향]
TBU",Cameron Lane 09790,취소,,Cameron Lane 09790,,,,예정,2026-07-28 10:01:27,,,-,260910_01,
128,2026-07-30 15:00:00,2026-07-30 00:00:00,2026,7,30,목요일,문자,마케팅 수신 회원,공연,국립현대무용단 <트리플 빌>,예술사업팀,트리플 빌 T/O,텍스트,"[본문]
(광고) GS칼텍스 예울마루


TBU

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Cameron Lane 09790,,,,예정,2026-07-30 16:44:46,,,,261014_01,
128,2026-07-30 15:50:00,2026-07-30 00:00:00,2026,7,30,목요일,카카오톡,-,공연,국립현대무용단 <트리플 빌>,예술사업팀,트리플 빌 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
TBU",Avery Reed 08336,완료,,Cameron Lane 09790,,,,예정,2026-07-30 16:44:33,,,,261014_01,
129,2026-07-30 16:00:00,2026-07-30 00:00:00,2026,7,30,목요일,인스타그램,-,공연,국립현대무용단 <트리플 빌>,예술사업팀,트리플 빌 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/p/DbaGmwGkZRZ/?img_index=1,,,예정,2026-07-30 16:44:16,,,,261014_01,
130,2026-07-23 16:00:00,2026-07-23 00:00:00,2026,7,23,목요일,문자,마케팅 수신 회원,공연,뮤지컬 <그날들>,예술사업팀,그날들,텍스트,"[본문]
(광고) GS칼텍스 예울마루


잊혀져간 기억, 잊지 못할 그날
대한민국 대표 창작 뮤지컬 <그날들> 바로 내일 티켓 오픈!(7/24 금 16시)
'서른 즈음에', '사랑했지만' 등 시대를 울린 명곡들과 함께
엄기준, 류수영, 윤시윤, 산들 등 믿고 보는 배우들이 그려내는 인생의 파노라마를
무대 위에서 직접 만나보세요.

♬ 공연일시: 2026. 9. 18(금) - 9. 20(일)
♬ 공연장소: GS칼텍스 예울마루 대극장
♬ 관람연령: 초등학생 이상 관람 가능
♬ 내용상세: https://www.yeulmaru.org/performance/v/?u=1287

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-07-21 13:09:24,,,,260918_01,
131,2026-07-29 11:00:00,2026-07-29 00:00:00,2026,7,29,수요일,문자,마케팅 수신 회원,대관,다음 달 홍보 일정,예술사업팀,8월 월간 일정,텍스트,"[본문]
(광고) GS칼텍스 예울마루


[공연]타악앙상블 META의 전자음향과 타악기
일정:8/22(토) 17:00 소극장
문의:000-0004-0892 

[공연]KBS교향악단과 함께하는 제10회 여수음악제
일정:8/29(토)~8/30(일) 17:00 대극장
8/30(일) 14:00 소극장
문의:000-0004-8103

[전시]기획전시 <숨: 쉬는 SUM>
일정:07/21(화)~10/18(일) 매주(월)휴관 7층전시실
문의:예울마루 1544-7669

[전시]창작스튜디오 7기 입주작가전 <안민환>
일정:8/25(화)~10/25(일) 장도야외
문의:예울마루 1544-7669

[전시]우주를, 바다를-담다, 닮다
일정:8/7(금)~8/12(수) 매주(월)휴관 장도전시실
문의:000-0000-8409

[전시]Pick Your Knot 
- 선택과 공감으로 완성되는 매듭
일정:/07(금)~8/12(수) 매주(월)휴관 장도전시실
문의:000-0003-1665

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",상관 없음,완료,,Avery Brooks 06336,,,,예정,2026-07-29 11:37:28,,,,,
132,2026-07-24 16:00:00,2026-07-24 00:00:00,2026,7,24,금요일,인스타그램,-,공연,뮤지컬 <그날들>,예술사업팀,그날들 티켓오픈 홍보,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,,,,예정,2026-07-24 16:27:20,,,,260918_01,
133,2026-08-07 15:50:00,2026-08-07 00:00:00,2026,8,7,금요일,카카오톡,-,공연,여수세계섬박람회 기념 음악회,예술사업팀,여수 섬 박람회 기념 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-07-28 10:03:06,,,,260910_01,
134,2026-08-19 15:00:00,2026-08-19 00:00:00,2026,8,19,수요일,문자,마케팅 수신 회원,공연,"18세기, 시대악기로 만나는 바로크의 정격연주",예술사업팀,바로크 클래식 T/O,텍스트,"[본문]
(광고) GS칼텍스 예울마루


-

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-07-28 10:04:18,,,,261022_01,
135,2026-07-28 01:10:00,2026-07-28 00:00:00,2026,7,28,화요일,카카오톡,-,공연,뮤지컬 <그날들>,예술사업팀,그날들 홍보 카톡,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-07-28 10:08:32,,,,260918_01,
136,2026-07-28 10:00:00,2026-07-28 00:00:00,2026,7,28,화요일,인스타그램,-,공연,뮤지컬 <그날들>,예술사업팀,그날들 인스타그램 캐스팅 메인페이지에 9블록,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",상관 없음,완료,,Avery Reed 08336,,,,예정,2026-07-28 16:18:55,,,,260918_01,
137,2026-07-29 16:30:00,2026-07-29 00:00:00,2026,7,29,수요일,인스타그램,-,공연,브런치 콘서트 Ⅲ <현 위로 흐르는 계절>,예술사업팀,브런치 Ⅲ 파트 3 홍보물,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Cameron Lane 09790,https://www.instagram.com/p/DbXlSV_kdXu/?img_index=1,,,예정,2026-07-29 16:36:14,,,,260903_01,
138,2026-08-07 15:00:00,2026-08-07 00:00:00,2026,8,7,금요일,문자,마케팅 수신 회원,공연,여수세계섬박람회 기념 음악회,예술사업팀,여수 섬 박람회 기념 T/O,텍스트,"[본문]
(광고) GS칼텍스 예울마루




- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,완료,,Avery Reed 08336,,,,예정,2026-08-07 16:29:02,,,,260910_01,
139,2026-08-07 15:00:00,2026-08-07 00:00:00,2026,8,7,금요일,인스타그램,-,공연,여수세계섬박람회 기념 음악회,예술사업팀,여수 섬 박람회 기념 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,완료,,Avery Reed 08336,,,,예정,2026-08-07 16:43:48,,,,260910_01,
140,2026-08-19 15:50:00,2026-08-19 00:00:00,2026,8,19,수요일,카카오톡,-,공연,"18세기, 시대악기로 만나는 바로크의 정격연주",예술사업팀,바로크 클래식 T/O,텍스트,"[본문]
(광고) GS칼텍스 예울마루


-

- 예울마루 카카오채널 구독: https://pf.kakao.com/_xfnxjxfd

문의 15447669
무료거부 0801564352",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-08-03 23:40:37,,,,261022_01,
141,2026-08-19 15:00:00,2026-08-19 00:00:00,2026,8,19,수요일,인스타그램,-,공연,"18세기, 시대악기로 만나는 바로크의 정격연주",예술사업팀,바로크 클래식 T/O,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-03 23:43:14,,,,261022_01,
142,2026-08-04 14:00:00,2026-08-04 00:00:00,2026,8,4,화요일,카카오톡,-,공연,뮤지컬 <그날들>,예술사업팀,뮤지컬 <그날들> 쇼츠,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
그날들 쇼츠 모음",Avery Reed 08336,완료,,Avery Reed 08336,,,,예정,2026-08-04 17:47:33,,,,260918_01,
143,2026-08-14 10:00:00,2026-08-14 00:00:00,2026,8,14,금요일,카카오톡,-,전시,GS칼텍스 예울마루 기획전시 <숨: 쉬는 섬>,예술사업팀,숨쉬는섬,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General > 3. 기획 전시 — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General/3.%20%EA%B8%B0%ED%9A%8D%20%EC%A0%84%EC%8B%9C

[본문 (76자)]
🌿 여름이 가기 전, 나만의 쉼을 찾아보세요.신발을 벗고 편안히 앉아 잠시 일상을 내려놓고 마음의 소리에 귀 기울이는 시간 예울마루",Avery Reed 08336,예정,,Cameron Foster 06326,,,,신청 중,2026-08-04 10:53:00,,,,260721_01,
144,2026-08-04 16:00:00,2026-08-04 00:00:00,2026,8,4,화요일,인스타그램,-,공연,뮤지컬 <그날들>,예술사업팀,그날들 내가 지키지 못한 것,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Avery Reed 08336,완료,,Avery Reed 08336,,,,예정,2026-08-04 17:48:19,,,,260918_01,
145,2026-08-15 00:00:00,2026-08-15 00:00:00,2026,8,15,토요일,카카오톡,-,공연,뮤지컬 <그날들>,예술사업팀,그날들,영상,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문 (76자)]
ㅓㅏㅏㅓㅏㅓㅏㅓ",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-08-04 14:02:00,,,,260918_01,
146,2026-08-05 15:00:00,2026-08-05 00:00:00,2026,8,5,수요일,인스타그램,-,공연,조재혁 피아노 리사이틀,예술사업팀,조기예매 25% 마감 D-3,이미지,"[본문]
8/8(토) 마감 · R 60,000→45,000 / S 40,000→30,000",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-05 08:20:24,,,,260912_01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2026-08-05 11:00:00,2026-08-05 00:00:00,2026,8,5,수요일,인스타그램,-,공연,조재혁 피아노 리사이틀,예술사업팀,조기예매 25% 마감 D-3,이미지,"[참고자료 폴더]
SharePoint > 예술사업팀 > 문서 > General — https://gscaltexyeulmaru.sharepoint.com/sites/artsmanagement/Shared%20Documents/General

[본문]
# 노출 타이틀

# 소개 문구

# 프로그램 개요
📍일 시 : 2026. 0. 0. (0) 00:00
📍장 소 : GS칼텍스 예울마루 00극장
📍가 격 : R석 0만원, S석 0만원
- 할인율:
- 홈페이지 회원 할인: 10%
📍관람 가능 연령 : 00세(00년생부터 관람 가능)

# 태그(출연진 또는 작가)

💕 자세한 내용은 프로필의 링크를 참고해주시기 바랍니다.",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-08-04 18:03:33,,,,260912_01,
149,2026-08-06 14:00:00,2026-08-06 00:00:00,2026,8,6,목요일,카카오톡,-,공연,여수세계섬박람회 기념 음악회,예술사업팀,티켓오픈 안내,이미지,"[본문 (76자)]
9/10(목) 대극장 · 박람회 개막주 첫 공연",Avery Reed 08336,취소,,Avery Reed 08336,,,,예정,2026-08-05 14:04:17,,,,260910_01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2026-08-13 11:00:00,2026-08-13 00:00:00,2026,8,13,목요일,카카오톡,-,공연,뮤지컬 <이상한 나라의 춘자씨>,예술사업팀,티켓오픈 안내,이미지,"[본문 (76자)]
10/9~10 대극장 · R 30,000 / S 20,000",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-08-04 18:04:46,,,,261009_01,
154,2026-08-13 14:00:00,2026-08-13 00:00:00,2026,8,13,목요일,인스타그램,-,공연,뮤지컬 <이상한 나라의 춘자씨>,예술사업팀,티켓오픈 릴스,영상,"[본문]
2024 공연예술창작산실 올해의 신작",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:04:54,,,,261009_01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2026-08-21 15:00:00,2026-08-21 00:00:00,2026,8,21,금요일,인스타그램,-,공연,조재혁 피아노 리사이틀,예술사업팀,바로크의 정점에서 고전의 새벽까지 — 예울마루의 18세기,이미지,"[본문]
9/12 현대 피아노(조재혁 = 모차르트 270주년 프로젝트) ↔ 10/22 시대악기 · 학생 둘 다 1만원",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:05:38,,,,260912_01,
159,2026-08-26 16:00:00,2026-08-26 00:00:00,2026,8,26,수요일,인스타그램,-,공연,뮤지컬 <그날들>,예술사업팀,출연 배우 인사영상,영상,"[본문]
서울 종연(8/23) 직후 · 김광석 30주기",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:06:07,,,,260918_01,
170,2026-09-01 14:00:00,2026-09-01 00:00:00,2026,9,1,화요일,인스타그램,-,공연,여수세계섬박람회 기념 음악회,예술사업팀,"박람회 보러 온 김에, 저녁엔 예울마루",이미지,"[본문]
공동작업자 · 회기 9/5~11/4 시즌 안내",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:06:38,,,,260910_01,
171,2026-09-03 15:00:00,2026-09-03 00:00:00,2026,9,3,목요일,인스타그램,-,공연,뮤지컬 <이상한 나라의 춘자씨>,예술사업팀,영화관 대신 공연장 ② %할인 3종,이미지,"[본문]
춘자씨 50%(초·중·고) · 트리플빌/피아노 30%",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:06:51,,,,261009_01,
172,2026-09-16 11:00:00,2026-09-16 00:00:00,2026,9,16,수요일,카카오톡,-,공연,뮤지컬 <그날들>,예술사업팀,공연 D-2,이미지,"[본문 (76자)]
9/18~20 4회차 · 10년 만의 재방문",Avery Reed 08336,예정,,Avery Reed 08336,,,,,2026-08-04 18:06:58,,,,260918_01,
173,2026-09-24 15:00:00,2026-09-24 00:00:00,2026,9,24,목요일,인스타그램,-,공연,국립현대무용단 <트리플 빌>,예술사업팀,"10월, 여수에서만 (희소성 묶음)",이미지,"[본문]
트리플 빌 + 피아노 & 피아노 · 학생 30%",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:07:30,,,,261014_01,
174,2026-09-24 16:00:00,2026-09-24 00:00:00,2026,9,24,목요일,블로그·맘카페,블로그,공연,국립현대무용단 <트리플 빌>,예술사업팀,"10월, 여수에서만 — 롱폼",텍스트,"[글 작성 방향]
국립 단체 지역투어 + 해외 아티스트 내한",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:07:38,,,,261014_01,
175,2026-10-06 14:00:00,2026-10-06 00:00:00,2026,10,6,화요일,인스타그램,-,공연,뮤지컬 <이상한 나라의 춘자씨>,예술사업팀,공연 D-3 릴스,영상,"[본문]
10/9~10 · 가족 관람 소구",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:07:45,,,,261009_01,
176,2026-10-08 16:00:00,2026-10-08 00:00:00,2026,10,8,목요일,블로그·맘카페,블로그,공연,국립현대무용단 <트리플 빌>,예술사업팀,윌리엄 포사이스 심화,텍스트,"[글 작성 방향]
서울 CJ토월 10/2~4 직후 · 검색 유입용",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:07:56,,,,261014_01,
177,2026-10-16 15:00:00,2026-10-16 00:00:00,2026,10,16,금요일,인스타그램,-,공연,"18세기, 시대악기로 만나는 바로크의 정격연주",예술사업팀,시대악기로 듣는 18세기,이미지,"[본문]
제목 그대로 = 바로크의 정점 → 고전의 새벽 · 소극장",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:08:20,,,,261022_01,
178,2026-10-21 14:00:00,2026-10-21 00:00:00,2026,10,21,수요일,인스타그램,-,공연,다비드 바뱅 & 아드리앙 몽도 <피아노 & 피아노>,예술사업팀,20년 전 아비뇽의 재회,영상,"[본문]
babx × Adrien M & Claire B · 2023 초연",Cameron Lane 09790,예정,,Avery Reed 08336,,,,,2026-08-04 18:08:32,,,,261027_01,
